period,baa_aaa,fedfunds,vix_log,term_spread,sp_logret
1990Q1,0.91,0.0825,3.09874002362822,0.1699999999999999,-0.038061
1990Q2,0.91,0.0824,2.929592471049446,0.4399999999999995,0.0479281805983111
1990Q3,1.0099999999999998,0.0816,3.226843994517377,0.5399999999999991,-0.0641951138522598
1990Q4,1.299999999999999,0.0774,3.2623183827110376,0.6600000000000001,-0.029179874820989
1991Q1,1.2700000000000014,0.0643,3.1144038032714896,1.59,0.1272409986033604
1991Q2,1.0199999999999996,0.0586,2.8419981736119486,2.2700000000000005,0.0450999788668182
1991Q3,0.9000000000000004,0.0564,2.811208293204836,2.3000000000000007,0.0301396979637944
1991Q4,0.9500000000000012,0.0482,2.859912550411456,2.53,0.0115967734530908
1992Q1,0.92,0.0401999999999999,2.8656235882069705,3.28,0.0335393901664335
1992Q2,0.8500000000000014,0.0377,2.74855214441154,3.61,0.0107729288482509
1992Q3,0.7199999999999989,0.0326,2.631888840136646,3.3600000000000003,0.0141113474924496
1992Q4,0.8499999999999996,0.0304,2.6919208191723265,3.7,0.0233705233065153
1993Q1,0.6600000000000001,0.0304,2.5847519847577165,3.24,0.0367200954179152
1993Q2,0.7400000000000002,0.03,2.5626389983283526,2.99,0.005293974780903
1993Q3,0.7300000000000004,0.0306,2.494856980641168,2.56,0.0219146979656681
1993Q4,0.71,0.0299,2.519308076505333,2.62,0.0183979629457757
1994Q1,0.6900000000000004,0.0321,2.598235335095004,2.8600000000000003,-0.0011108894334057
1994Q2,0.6499999999999995,0.0394,2.6748380668960965,3.14,-0.0312020043654399
1994Q3,0.6699999999999999,0.0449,2.5273273656719524,2.84,0.0325921990407342
1994Q4,0.6400000000000006,0.0516999999999999,2.725890119230541,2.67,-0.0080165172914377
1995Q1,0.5999999999999996,0.0581,2.4840729690394228,1.6700000000000008,0.0514982967950219
1995Q2,0.580000000000001,0.0602,2.5006159434931803,0.6000000000000005,0.0881089353515234
1995Q3,0.6200000000000001,0.0579999999999999,2.523325759691945,0.5200000000000005,0.0699968064224805
1995Q4,0.6600000000000001,0.0572,2.5572273113676265,0.1699999999999999,0.0538130269478909
1996Q1,0.6699999999999999,0.0536,2.734367509419584,0.5499999999999998,0.0639992969297313
1996Q2,0.6799999999999988,0.0524,2.7954503913830435,1.4799999999999995,0.0367622398098061
1996Q3,0.6999999999999993,0.0530999999999999,2.8201877010390604,1.4700000000000006,-0.0073744420787926
1996Q4,0.6799999999999997,0.0528,2.845490610223448,1.0599999999999996,0.107105599095898
1997Q1,0.6500000000000004,0.0528,2.991724252156452,1.2799999999999994,0.0577926685684238
1997Q2,0.6099999999999994,0.0552,2.991724252156452,1.1800000000000006,0.0824726185486897
1997Q3,0.5899999999999999,0.0553,3.1112906141882632,0.71,0.0998989301610846
1997Q4,0.5600000000000005,0.0550999999999999,3.299164656097004,0.4000000000000003,0.0139645785248774
1998Q1,0.5899999999999999,0.0552,3.059645599297644,0.0700000000000002,0.0975081122877661
1998Q2,0.6100000000000003,0.055,3.069447311376272,0.0999999999999996,0.0634247453698018
1998Q3,0.6399999999999997,0.0553,3.392829131991639,-0.33,-0.0751203434782121
